# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.to.snapshot.ms,1717449141450000000,1717449181332000000,4
jps.facet.change.listener.init.bridge.ms,1717449141450000000,1717449181332000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1717449141450000000,1717449181332000000,16
jps.save.changed.project.entities.ms,1717449141450000000,1717449181332000000,1
jps.module.iml.entities.serializer.load.entities.ms,1717449141450000000,1717449181332000000,100
workspaceModel.global.apply.state.to.project.ms,1717449141450000000,1717449181332000000,79
workspaceModel.mutableEntityStorage.modify.entity.ms,1717449141450000000,1717449181332000000,3
jps.global.get.library.by.name.ms,1717449141450000000,1717449181332000000,0
workspaceModel.load.cache.from.file.ms,1717449141450000000,1717449181332000000,341
jps.load.project.to.empty.storage.ms,1717449141450000000,1717449181332000000,231
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1717449141450000000,1717449181332000000,0
jps.artifact.entities.serializer.load.entities.ms,1717449141450000000,1717449181332000000,0
jps.facet.change.listener.before.change.events.ms,1717449141450000000,1717449181332000000,1
workspaceModel.orphan.listener.update.ms,1717449141450000000,1717449181332000000,5
